Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,0.0,1329.0,18.0,61.0,1329.0,0.1,30.53000000000001,0.0,0.0,120.02632904052734,,,,,,,,,,,,,,,,,,,,,10.005260640078674,10.248100720098051,29.979608338022903,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,1420.0,19.0,91.0,1420.0,0.1,57.44599999999994,0.0,0.0,129.37380981445312,,,,,,,,,,,,,,,,,,,,,22.426766361433742,17.711883116626794,55.51614102702258,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,1446.0,20.0,26.0,1446.0,0.1,11.844799999999998,0.0,0.0,132.18940544128418,,,,,,,,,,,,,,,,,,,,,3.9585277169089745,4.189302611596168,11.765397308580221,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,125.0,1.0,125.0,1571.0,0.1,75.93099999999994,0.0,0.0,368.94753432273865,,,,,,,,,,,,,,,,,,,,,28.07867473407534,24.298761957265352,72.5662255431012,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,263.0,2.0,138.0,1709.0,0.1,53.78179999999989,0.0,0.0,382.7071089744568,,,,,,,,,,,,,,,,,,,,,20.071449647816724,14.775195306642074,51.114117068621475,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,309.0,3.0,46.0,1755.0,0.1,27.246000000000013,0.0,0.0,387.4752194881439,,,,,,,,,,,,,,,,,,,,,9.948748523667282,9.211979319141758,26.84201475540737,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,385.0,4.0,76.0,1831.0,0.1,50.325999999999965,0.0,0.0,395.2350764274597,,,,,,,,,,,,,,,,,,,,,19.552744228942707,16.263354048815597,48.937818137056325,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,410.0,5.0,25.0,1856.0,0.1,9.885999999999997,0.0,0.0,397.88429522514343,,,,,,,,,,,,,,,,,,,,,2.9979299759524385,3.437928148471706,9.830703326550967,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,446.0,6.0,36.0,1892.0,0.1,11.766999999999994,0.0,0.0,402.00342655181885,,,,,,,,,,,,,,,,,,,,,3.096834018928505,3.7020558676630078,11.678860016491544,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,487.0,7.0,41.0,1933.0,0.1,15.407999999999996,0.0,0.0,406.3172447681427,,,,,,,,,,,,,,,,,,,,,4.285130834565032,5.032221796155921,15.262820012988803,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,569.0,8.0,82.0,2015.0,0.1,48.70499999999996,0.0,0.0,414.764301776886,,,,,,,,,,,,,,,,,,,,,19.846315766637353,14.639295400087272,47.171898732702424,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,601.0,9.0,32.0,2047.0,0.1,13.706999999999999,0.0,0.0,418.223833322525,,,,,,,,,,,,,,,,,,,,,4.066974289674421,4.684488142170365,13.60405132132174,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,770.0,10.0,169.0,2216.0,0.1,95.3449999999999,0.0,0.0,434.90981364250183,,,,,,,,,,,,,,,,,,,,,45.4168712323752,26.4431172353875,87.84515121901549,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,934.0,11.0,164.0,2380.0,0.1,98.78699999999994,0.0,0.0,451.094820022583,,,,,,,,,,,,,,,,,,,,,38.31524282213714,28.268189786628717,92.68858465790072,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,1041.0,12.0,107.0,2487.0,0.1,70.28479999999993,0.0,0.0,461.91243600845337,,,,,,,,,,,,,,,,,,,,,28.885862633735485,20.834436898909082,67.32860257473719,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,1077.0,13.0,36.0,2523.0,0.1,17.806,0.0,0.0,465.66984152793884,,,,,,,,,,,,,,,,,,,,,5.88419983585057,6.127753626605078,17.629409996492374,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,1151.0,14.0,74.0,2597.0,0.1,42.025999999999975,0.0,0.0,473.1419777870178,,,,,,,,,,,,,,,,,,,,,15.580683026918964,13.216512752048049,40.954898297705114,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,1207.0,15.0,56.0,2653.0,0.1,31.564799999999995,0.0,0.0,478.8173670768738,,,,,,,,,,,,,,,,,,,,,12.515557364194128,9.75921895392907,30.925749360576926,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,1250.0,16.0,43.0,2696.0,0.1,25.246000000000006,0.0,0.0,483.2862057685852,,,,,,,,,,,,,,,,,,,,,9.335389366538704,8.589267309578995,24.89434204699077,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,1309.0,17.0,59.0,2755.0,0.1,27.46699999999999,0.0,0.0,489.43637228012085,,,,,,,,,,,,,,,,,,,,,10.508288481424348,8.619102583036527,26.90078565011052,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,1381.0,18.0,72.0,2827.0,0.1,31.129999999999995,0.0,0.0,496.95995354652405,,,,,,,,,,,,,,,,,,,,,11.919761551853039,9.458549269594862,30.332411659173268,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,1513.0,19.0,132.0,2959.0,0.1,68.77599999999998,0.0,0.0,509.8478493690491,,,,,,,,,,,,,,,,,,,,,26.025217587640213,21.091630448532367,65.471548904692,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,1580.0,20.0,67.0,3026.0,0.1,32.02799999999997,0.0,0.0,516.7416024208069,,,,,,,,,,,,,,,,,,,,,11.962057504014851,9.663897468108997,31.2890890362144,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,154.0,1.0,154.0,3180.0,0.1,82.25580000000001,0.0,0.0,775.2909531593323,,,,,,,,,,,,,,,,,,,,,34.498336505072245,24.26037797311382,77.09717342790124,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,228.0,2.0,74.0,3254.0,0.1,44.84599999999996,0.0,0.0,783.0543706417084,,,,,,,,,,,,,,,,,,,,,17.392372072259196,14.216356044385245,43.64621324693344,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,288.0,3.0,60.0,3314.0,0.1,30.508999999999997,0.0,0.0,789.4305305480957,,,,,,,,,,,,,,,,,,,,,10.299632075514834,9.635424117899023,29.950893912399994,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,387.0,4.0,99.0,3413.0,0.1,35.496999999999936,0.0,0.0,799.2704186439514,,,,,,,,,,,,,,,,,,,,,12.118541568327666,10.357985030976478,34.36596194265895,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,488.0,5.0,101.0,3514.0,0.1,51.52499999999995,0.0,0.0,809.4008712768555,,,,,,,,,,,,,,,,,,,,,21.76560048097993,14.549055470981395,49.42547587770057,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,522.0,6.0,34.0,3548.0,0.1,12.867999999999995,0.0,0.0,813.1350841522217,,,,,,,,,,,,,,,,,,,,,3.5124726632057817,4.186522773057345,12.774111378095817,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,550.0,7.0,28.0,3576.0,0.1,9.806999999999995,0.0,0.0,816.2178897857666,,,,,,,,,,,,,,,,,,,,,2.5493643978707956,3.2477369391193602,9.755118278297939,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,623.0,8.0,73.0,3649.0,0.1,51.90599999999998,0.0,0.0,823.7623896598816,,,,,,,,,,,,,,,,,,,,,21.686462645538736,16.652286037294562,50.423685173537535,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,648.0,9.0,25.0,3674.0,0.1,10.445999999999996,0.0,0.0,826.4788861274719,,,,,,,,,,,,,,,,,,,,,3.0540218602672122,3.5782165141554994,10.390419902879177,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,851.0,10.0,203.0,3877.0,0.1,132.52700000000004,0.0,0.0,847.2164943218231,,,,,,,,,,,,,,,,,,,,,58.31981442778914,37.2917180287666,120.92981637409072,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,991.0,11.0,140.0,4017.0,0.1,100.78699999999994,0.0,0.0,861.3659362792969,,,,,,,,,,,,,,,,,,,,,41.84482367530689,30.145989415945888,95.11886730119215,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,1102.0,12.0,111.0,4128.0,0.1,79.40699999999994,0.0,0.0,872.4596793651581,,,,,,,,,,,,,,,,,,,,,33.70001752726613,24.045929454032812,75.81785795252054,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,1140.0,13.0,38.0,4166.0,0.1,21.046000000000006,0.0,0.0,876.5892810821533,,,,,,,,,,,,,,,,,,,,,7.567913427565779,7.198495184103243,20.79999848672747,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,1180.0,14.0,40.0,4206.0,0.1,22.966000000000008,0.0,0.0,880.7904806137085,,,,,,,,,,,,,,,,,,,,,8.220030563566848,7.734955690796279,22.682541177270696,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,1232.0,15.0,52.0,4258.0,0.1,31.466,0.0,0.0,886.310747385025,,,,,,,,,,,,,,,,,,,,,12.089567759442938,10.166993226266738,30.89910979699316,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,1284.0,16.0,52.0,4310.0,0.1,13.784999999999988,0.0,0.0,891.8946578502655,,,,,,,,,,,,,,,,,,,,,2.6001331971914707,4.149939778726187,13.677133663940266,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,1355.0,17.0,71.0,4381.0,0.1,33.127999999999986,0.0,0.0,899.2202024459839,,,,,,,,,,,,,,,,,,,,,12.902179960851537,10.17316336770611,32.27646587806981,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,1404.0,18.0,49.0,4430.0,0.1,17.79400000000001,0.0,0.0,904.4494879245758,,,,,,,,,,,,,,,,,,,,,4.596923311931674,5.667771226828734,17.603941035846006,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,1656.0,19.0,252.0,4682.0,0.1,176.6650000000003,0.0,0.0,929.3820860385895,,,,,,,,,,,,,,,,,,,,,76.73665622656895,48.1714628880536,157.64248996835138,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,1747.0,20.0,91.0,4773.0,0.1,38.00199999999994,0.0,0.0,938.8604075908661,,,,,,,,,,,,,,,,,,,,,11.295501899494628,12.117887451264222,37.048168616209786,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,294.0,1.0,294.0,5067.0,0.1,179.36500000000032,0.0,0.0,1240.210250377655,,,,,,,,,,,,,,,,,,,,,76.58268618893536,44.602390398514565,157.1638608182286,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,385.0,2.0,91.0,5158.0,0.1,67.18399999999995,0.0,0.0,1249.5591924190521,,,,,,,,,,,,,,,,,,,,,30.039126602892818,20.086294640214035,64.57953396753787,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,564.0,3.0,179.0,5337.0,0.1,117.368,0.0,0.0,1267.6629729270935,,,,,,,,,,,,,,,,,,,,,52.50458576434693,33.003863988368195,108.18594284793494,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,616.0,4.0,52.0,5389.0,0.1,14.935999999999993,0.0,0.0,1272.9010400772095,,,,,,,,,,,,,,,,,,,,,3.2293177644145254,4.521522185737734,14.797655990575612,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,640.0,5.0,24.0,5413.0,0.1,9.604999999999995,0.0,0.0,1275.5886778831482,,,,,,,,,,,,,,,,,,,,,3.0536040067966215,3.3415669599066598,9.550805564159637,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,704.0,6.0,64.0,5477.0,0.1,40.36499999999998,0.0,0.0,1282.3894810676575,,,,,,,,,,,,,,,,,,,,,15.752272380813402,12.629962448534066,39.43568650495134,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,1072.0,7.0,368.0,5845.0,0.1,266.6658000000008,0.0,0.0,1318.902055978775,,,,,,,,,,,,,,,,,,,,,123.29413843723896,66.46414856174606,221.73680893615955,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,1412.0,8.0,340.0,6185.0,0.1,240.3270000000007,0.0,0.0,1352.4777610301971,,,,,,,,,,,,,,,,,,,,,99.82241882407047,62.2695871081649,206.80077234373135,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
